manufacturer_id,manufacturer_name,manufacturer_name_upper,model_id,model_name,model_name_upper,generation_id,generation_name,generation_name_canonical,generation_name_upper,year_start,year_end,year_end_raw,generation_href_relative,generation_href_absolute
a68271cd055981305aa8263bf1aff564,SEAT,SEAT,34eef2606b9472f6802783e02e4109c2,León,LEÓN,c334f06f7059dd55c7436bf42b1d0365,León (2020-actualidad),León 2020-actualidad,LEÓN 2020-ACTUALIDAD,2020,,actualidad,seat/20-leon,https://www.encycarpedia.com/es/seat/20-leon
a68271cd055981305aa8263bf1aff564,SEAT,SEAT,34eef2606b9472f6802783e02e4109c2,León,LEÓN,d5197a500635b1841b8b2120dd034887,León (2012-2020),León 2012-2020,LEÓN 2012-2020,2012,2020,2020,seat/12-leon,https://www.encycarpedia.com/es/seat/12-leon
a68271cd055981305aa8263bf1aff564,SEAT,SEAT,34eef2606b9472f6802783e02e4109c2,León,LEÓN,5789bd33187949a93844a79aae76f61a,León (2005-2012),León 2005-2012,LEÓN 2005-2012,2005,2012,2012,seat/05-leon,https://www.encycarpedia.com/es/seat/05-leon
a68271cd055981305aa8263bf1aff564,SEAT,SEAT,34eef2606b9472f6802783e02e4109c2,León,LEÓN,9ceb4730d4e3b1ca941e03d950f0818b,León (1999-2008),León 1999-2008,LEÓN 1999-2008,1999,2008,2008,seat/99-leon,https://www.encycarpedia.com/es/seat/99-leon
